Hotel_Name,Hotel_Address,text,lat,lng,emotion,cluster
Park Plaza Victoria Amsterdam,Damrak 1 5 Amsterdam City Center 1012 LG Amsterdam Netherlands, The staffing was excellent supportive courteous and over all very friendly very helpful and totally enjoyed our stay Looking forward to seeing them all again   N A,52.377278,4.897818,joy,0
Hilton London Kensington Hotel,Holland Park Avenue Kensington and Chelsea London W11 4UL United Kingdom,No Positive  Bed not comfortable small room Air conditioning didn t work,51.5051084,-0.213266,neutral,0
Georgian House Hotel,35 39 St Georges Drive Westminster Borough London SW1V 4DG United Kingdom, The bed was very comfortable with beautiful Egyptian cotton sheets the pillows were plump and soft Cleanliness was outstanding  Access the climb up the stairs was tiring as there are no lifts ,51.490724,-0.143868,neutral,0
The Premier Notting Hill,5 7 Princes Square Kensington and Chelsea London W2 4NP United Kingdom, The people were all so nice and friendly   The duvet could have been a little bigger as it did not overhang both sides of the bed and really only sat on top of the mattress ,51.5127453,-0.1926437,neutral,0
Grand Royale London Hyde Park,1 Inverness Terrace Westminster Borough London W2 3JP United Kingdom, Friendly staff easy access to the Underground and buses   Room sizes were very small,51.5109945,-0.1863417,neutral,0
Sloane Square Hotel,Sloane Square Kensington and Chelsea London SW1W 8EG United Kingdom, Location  It was notice and very loud music all night I could not sleep at all When I asked the staff for another room I was not there is none available really not a good experience However the location is good ,51.4927325,-0.1573708,neutral,0
Mercure London Kensington Hotel,1a Lexham Gardens Kensington and Chelsea London W8 5JJ United Kingdom,No Positive No Negative,51.4950098,-0.1906195,anger,0
Park Plaza County Hall London,1 Addington Street Lambeth London SE1 7RY United Kingdom, Frokost gratis for barn Business center utmerket  No Negative,51.5014001,-0.1160092,neutral,-1
Brunelleschi Hotel,Via Baracchini 12 Milan City Center 20123 Milan Italy, Great location just a walk to the main square  Bit dated decour,45.461177,9.191047,neutral,-1
Mayflower Hotel Apartments,26 28 Trebovir Rd Kensington and Chelsea London SW5 9NJ United Kingdom, Cleanliness   Poor value for money In addition there are hidden costs If you want an English breakfast you have to pay about 9 pound per person But I had a satisfying continantal breakfast which was included in the rate There are other hptels in better locations at least one of them should be a better option to stay in ,51.4916677,-0.1947475,neutral,0
Hotel Esther a,Singel 303 309 Amsterdam City Center 1012 WJ Amsterdam Netherlands, Great Location walking distance to everywhere no need to use public transport from airport get the train to amsterdam central 5e w and 15mins walk using google maps Also less than 5mins to main shopping area and Dam square 10mins to Anne Frank s House 20mins to musmuem quarter lots of lovely restaurants close by Would definately recommend CAU Restaurant if you like a good steak which you can book online so very handy Cocktails were fab and the free coffee hot chocolate sweets cake in hotel was a nice free addition especially coming in from a busy day walking around this beautiful city  No Negative,52.3705447,4.8886439,neutral,0
Apollo Hotel Amsterdam,Apollolaan 2 Oud Zuid 1077 BA Amsterdam Netherlands, Good locatieon Nice room Parking very expensive Ordinary people in the Harbour Club bar where you have to wait 30 minutes before you get a drink They were totally not interested Good food in the restaurant Good breakfast but very irritating man at the entramce of the breakfast room Anyway I will go back because rate quality is Good  No Negative,52.3486098,4.8844292,neutral,0
Urban Lodge Hotel,Arlandaweg 10 Westpoort 1043 EW Amsterdam Netherlands, Very nice place The area was nice and safe Staff were kind Train station was very near  No Negative,52.3856494,4.834443,neutral,0
Hotel Best Western PLUS Alfa Aeropuerto,Calle K s n Entrada principal Mercabarna Sants Montju c 08040 Barcelona Spain, Very satisfied with the service The employees there are very nice and prompt react   Certain device in the room is broken ,41.3283758,2.1129638,neutral,1
Danubius Hotel Regents Park,18 Lodge Road Near Baker Street And Marylebone Westminster Borough London NW8 7JT United Kingdom, Staff were friendly   Parking quite expensive,51.529257,-0.168358,neutral,0
H10 Cubik 4 Sup,V a Laietana 69 Ciutat Vella 08003 Barcelona Spain, Location of the hotel  Swimming pool too small not enough sun loungers Room not serviced until late afternoon most days,41.388024,2.1731556,neutral,-1
Mercure Hotel Amsterdam West,Oude Haagseweg 20 Slotervaart 1066 BW Amsterdam Netherlands, Lovely hotel bus stop right outside that takes u in to Amsterdam in 15mins friendly staff  No Negative,52.3375677,4.8178172,neutral,0
Clayton Crown Hotel London,152 Cricklewood Broadway Cricklewood London NW2 3ED United Kingdom, Facilities  Being awakened at 09 50hrs by the cleaner when we did not need to check out til 12 grrr,51.5561548,-0.2141824,neutral,-1
Tryp Barcelona Condal Mar Hotel,Crist bal de Moura 138 Sant Mart 08019 Barcelona Spain, The swimming pool No Negative,41.4126508,2.2090895,anger,1
St James Court A Taj Hotel London,41 54 Buckingham Gate Westminster Borough London SW1E 6AF United Kingdom, Good location close to Buckingham palace Hyde park and Southbank Reception staff was very friendly and helpful throughout our stay   Very close a school so a bit noisy in the morning As mentioned in other reviews rooms are a bit outdated Service charge is added to everything even when you buy a drink at a bar Roy the bar manager was very rude which appalling for a 4 start hotel in central London ,51.4986732,-0.1376867,neutral,0
Club Quarters Hotel Trafalgar Square,8 Northumberland Avenue Westminster Borough London WC2N 5BY United Kingdom, Great position close to transport and attractions Good restaurants nearby  Self catering could have a hot plate not just a microwave,51.506935,-0.126012,neutral,0
Ambassadors Bloomsbury,12 Upper Woburn Place Camden London WC1H 0HX United Kingdom, Great location Clean Friendly staff Very well kept and modern   Room very small ,51.5266618,-0.1296571,joy,0
Pullman London St Pancras,100 110 Euston Road Camden London NW1 2AJ United Kingdom, Very comfy bed very clean excellent breakfast No Negative,51.5286766,-0.1283489,joy,0
Best Western Plus Hotel Blue Square,Slotermeerlaan 80 Geuzenveld Slotermeer 1064 HD Amsterdam Netherlands, everyday me and my friends room would be cleaned staff are very friendly and its not too far from city centre also therre is many locat shops around so greate location   nothing really,52.3786823,4.8207833,neutral,0
Hotel Palace GL,Gran Via de les Corts Catalanes 668 Eixample 08010 Barcelona Spain, Excellent attitude  Not enough time to explore the hotel,41.3916258,2.1716378,neutral,1
Hotel Arts Barcelona,Marina 19 21 08005 Barcelona Spain, Room was very luxurious and the view from our room across the city was out of this world We were given a room on 31st Floor so ask for a high floor if you want great views We were right next to the port and beach so the location was fantastic The bus tour stop is a stones throw away and taxis are always available It s a really great spot The staff were excellent and nothing was too much trouble They were very professional and very friendly and on hearing we were celebrating a special birthday they sent up some Cava and some lovely cakes We would definitely recommend this hotel to family and friends and we would love to stay again on our next visit   The lobby was not on the same level as the hotel entrance so you had to take an additional lift but this was very minor in the great scheme of things ,41.3865424,2.1969665,neutral,1
Megaro Hotel,Belgrove Street Camden London WC1H 8AB United Kingdom,No Positive  The fire alarm kept going off With 5 of us staying there we had plenty of showers ,51.5294411,-0.1233745,neutral,0
Hilton London Tower Bridge,5 More London Place Tooley Street Southwark London SE1 2BY United Kingdom, Customer service was the best which me and friends really liked about It was just 5 10 mins walk to Shard where we had a dinner and the view was amazing from our room  No Negative,51.504575,-0.082675,neutral,0
Park Grand London Lancaster Gate,14 16 Craven Hill Lancaster Gate Westminster Borough London W2 3DU United Kingdom, The staff were so friendly chatty and helpful To accommodate our requests we got moved from Park Grand Lancaster Gate to Park Grand Paddington which is just around the corner of PGLG it is newly renovated The neighboorhood was quiet with a cafes and small ethnic restaurants within one block radius There s a pharmacy and marts as well   Some of the rooms have no lift access and the stairs were uneven It is also difficult to hail a cab we had to walk at least two blocks to a busy street But using Uber is a great alternative cheaper too The bed sheets were rough so were the towels Free bottled water wasn t replenished daily ,51.5132069,-0.1807816,neutral,0
Park Plaza Victoria Amsterdam,Damrak 1 5 Amsterdam City Center 1012 LG Amsterdam Netherlands, Our receptionist was darling She treated us nicely gave us good info to walk the canals and supplied us w umbrella I was pleasantly surprised by how quiet the room was Look forward to another stay  No Negative,52.377278,4.897818,neutral,0
H tel Champs lys es Plaza,35 Rue De Berri 8th arr 75008 Paris France, Hotel Staff were extremely friendly and helpful and the hotel decor and furnishings were tasteful and wholly in keeping with the period style of the building apart from the awful modern art painting above the bed the old 2 person lift was quirky and fun Room service and food were very good Location just off the Champs Elysee was convenient and relatively quiet given the French affinity to the car horn 2 Metro stations were within very easy walking distance Overall we had a great stay and would definitely stay at this hotel again   The tea coffee in the room weren t automatically replenished as often as we would have liked and there isn t any milk provided as a matter of course minor criticism I know ,48.8737043,2.3061477,neutral,0
Residence Henri IV,50 rue des Bernardins 5th arr 75005 Paris France, My favorite hotel in Paris Great rooms staff view location We had a two rooms apartment with a cozy balcony  WiFi connection wasn t good this time,48.8481917,2.3490316,neutral,0
H tel Th r se,5 7 Rue Th r se 1st arr 75001 Paris France, Location No Negative,48.8816306,2.2992146,anger,0
Atala Champs Elys es,10 rue Chateaubriand 8th arr 75008 Paris France, Beautiful view room with a balcony great location   Old furnishing,48.8735418,2.302442,joy,0
London Marriott Hotel West India Quay,22 Hertsmere Road Tower Hamlets London E14 4ED United Kingdom, Bed very comfortable TV good Generally very comfortable   My details were wrong on database offered biscuits cheese and wine but never materialised Very poor gym facilities ladies sauna not working very dirty room felt like I was treated as though no one wanted me there Will not return ,51.5072713,-0.0211213,neutral,0
Steigenberger Hotel Herrenhof,Herrengasse 10 01 Innere Stadt 1010 Vienna Austria, Great location really good sized rooms and very polite and helpful front of house staff  No Negative,48.2097958,16.3658705,neutral,0
citizenM Amsterdam,Prinses Irenestraat 30 Zuideramstel 1077 WX Amsterdam Netherlands, Love the cocktails carrot cake love this Hotels  check out 11am,52.3419432,4.8759604,neutral,0
Best Western Le Jardin de Cluny,9 Rue du Sommerard 5th arr 75005 Paris France, Mini bar 24 hour service Tv channels Clean cosy and comfortable  No Negative,48.8497553,2.3467616,neutral,-1
Glam Milano,Piazza Duca D Aosta 4 6 Central Station 20124 Milan Italy, Breakfast full  The half board can be given also for lunch not only in the evening ,45.4838504,9.2034067,neutral,-1
citizenM London Bankside,20 Lavington Street Southwark London SE1 0NZ United Kingdom, Liked the decor and location  Staff were unable to provide room service eg shower cap coffee I did not want to get dressed to go downstairs to get shower cap or coffee it was not available in room,51.5051507,-0.1004724,neutral,0
The Student Hotel Amsterdam City,Wibautstraat 129 Oost 1091 GL Amsterdam Netherlands, walking distance to metro station and restaurant  dusty desk and curtain no refrigerator noisy night activity from next door,52.3546649,4.9131641,neutral,-1
DoubleTree by Hilton London Westminster,30 John Islip St Westminster Borough London SW1P 4DD United Kingdom, The chocolate chip cookies on reception were scrumptious executive lounge brilliant food to die for Rooms crisp and fresh lots of facilities We were treated like kings because my son had his 12th birthday there the staff gave him a Hilton teddy and a tin of cookies and we were upgraded Would definitely recommend this hotel to anyone   nothing could have been better ,51.4932356,-0.1269082,neutral,0
H10 Cubik 4 Sup,V a Laietana 69 Ciutat Vella 08003 Barcelona Spain, The staff at the hotel are super friendly from reception to the bar The facility is modern and clean The location is perfect   Breakfast was pricey ,41.388024,2.1731556,neutral,1
Jaz Amsterdam,De Passage 90 Noord Holland Zuidoost 1101 AX Amsterdam Netherlands, Great big room coffee machine was a great touch and the bathroom shower was really nice and modern  No Negative,52.314371,4.9388064,neutral,0
Hilton London Metropole,225 Edgware Road Westminster Borough London W2 1JU United Kingdom,No Positive  At time of check in staff argue us too much that we didn t book They refused to gave the rooms,51.5195688,-0.170521,neutral,0
H tel Regent s Garden,6 Rue Pierre Demours 17th arr 75017 Paris France,No Positive  Too hot in the room,48.8797513,2.2919634,neutral,0
Pullman London St Pancras,100 110 Euston Road Camden London NW1 2AJ United Kingdom, This hotel should be on every traveler s bucket list 10 10 for everything Thank you Pullman London St Pancras for setting the standard so high   Nothing at all Everything was perfect ,51.5286766,-0.1283489,neutral,0
Copthorne Tara Hotel London Kensington,Scarsdale Place Kensington Kensington and Chelsea London W8 5SY United Kingdom, location of hotel is excellent Nice having outside seating to enjoy drinks in the sunshine No Negative,51.499046,-0.1917073,joy,0
Amadi Park Hotel,Eerste Constantijn huygensstraat 26G Oud West 1054 BR Amsterdam Netherlands, Amazing customer service amazing staff very clean and nice thank you  It was wonderful ,52.364962,4.873495,joy,-1
Novotel London West,1 Shortlands Hammersmith and Fulham London W6 8DR United Kingdom, Excellent staff Great meals Didn t feel enormous  No Negative,51.4919588,-0.2200956,joy,0
Hotel Granados 83,Enrique Granados 83 Eixample 08008 Barcelona Spain, The bed was very comfortable but some more pillow options would be helpful The bathroom amenities were excellent and it was great to have a bath tub It is also very quiet  No Negative,41.391843,2.156844,neutral,1
BEST WESTERN Maitrise Hotel Maida Vale,53 59 Kilburn High Road Maida Vale London Camden London NW6 5SB United Kingdom, Always stay there Very obliging and caring  Nil,51.5366053,-0.1919832,neutral,-1
Maison Souquet,10 rue de Bruxelles 9th arr 75009 Paris France,No Positive  Very poor lighting in room And no lights in hallway until you walk than they turn on By sensor Scary to be in the dark in a hotel Esp Coming off the elevator Rooms are candle like lights only Too dark to find things in your room Better hotels for the money Such tiny rooms 2 people couldn t fit comfortably Even at night all lights are out key activated Good luck going to toilet in the night find your way in total darkness Lights by key st the door ,48.88366,2.3313845,neutral,-1
Hotel degli Arcimboldi,Viale Sarca 336 Bicocca Zara 20125 Milan Italy, Very helpful staff Good breakfast Very comfortable beds We did enjoy our stay   Room was small angle of television odd because of the shape of the room TV sound was a bit muffled because it was in a box I did think that the hotel was bit far out from the city center but the metro station was very close ,45.5257221,9.2150033,neutral,0
Hotel Okura Amsterdam,Ferdinand Bolstraat 333 Oud Zuid 1072 LH Amsterdam Netherlands, The bed was comfy the sushi was amazing at Yamazota  The hallway light would turn on with movement so tossing and turning in sleep would turn on the light and wake me up ,52.3487635,4.8938829,neutral,-1
Duquesa Suites Barcelona,Pla a Antonio L pez 5 Ciutat Vella 08002 Barcelona Spain, Beautifully furnished and equipped for all you could need Fabulous staff and a rooftop pool with a view to make you sigh  No Negative,41.3810421,2.1814294,neutral,1
Hotel Dieci,Largo Rio de Janeiro 12 Citt Studi 20133 Milan Italy, They had soy desserts for breakfast which was awesome for me since I can t have milk and the rest of the food was good too but not that many choices The shower in our room was huge and really nice once you had figured out how to close it properly though   It s not as close to the center as we expected it to be and the area around it is not that cool but at least the tram station is right in front Still it doesn t seem like a 4 star hotel more like 3 stars it s very small and right by a busy street So it s good if you just want a nice and clean little place to stay for a couple days but not if you re looking for something more fancy ,45.4738012,9.2239702,neutral,0
Innkeeper s Lodge London Greenwich,291 Greenwich High Road Greenwich Greenwich London SE10 8NA United Kingdom, Great Location quick check out Morning staff much nicer Clean sheets and room Tea facilities  check in chap not very friendly Cloud wifi very annoying Previous guests hair and squashed fly in shower Water pressure poor Noise from the street No hairdryer in the room,51.4801631,-0.0097201,neutral,0
Hilton Vienna Danube Waterfront,Handelskai 269 02 Leopoldstadt 1020 Vienna Austria,No Positive  IT WAS TOO FAR FROM CITY CENTRE,48.2140659,16.4217627,neutral,-1
Radisson Blu Edwardian Kenilworth,97 Great Russell Street Bloomsbury Camden London WC1B 3LB United Kingdom, The Reception Personnel Ibrahim us veey pleasant and helpful even gave me an upgrade WONDEEFUL   Nil,51.5179725,-0.1280495,neutral,0
Grand Pigalle Hotel,29 rue Victor Mass 9th arr 75009 Paris France, friendly and clean in a neighbourhood that is getting trendy super stay in a pretty room No Negative,48.880856,2.3375085,joy,0
Hotel Am Parkring,Parkring 12 01 Innere Stadt 1010 Vienna Austria, Excellent view location  No Negative,48.2056333,16.3778615,anger,0
The Ned,Poultry 27 City of London London EC2R 8AJ United Kingdom, The decor comfort of the bed and the toiletries were fab The bar and band were an unexpected bonus   The room was a bit tight for the money ,51.5135929,-0.0907833,neutral,0
Park Plaza County Hall London,1 Addington Street Lambeth London SE1 7RY United Kingdom, Brilliant stay Especially the staff at breakfast  No Negative,51.5014001,-0.1160092,neutral,0
DoubleTree by Hilton London Victoria,2 Bridge Place Victoria Westminster Borough London SW1V 1QA United Kingdom, Fantastic locatio directly across the street from Victoria Station Walkable distance to most major attractions in London The breakfast was a complete success offering many choices including eggs and omelets made to order   Housekeeping and cleanliness could have been better ,51.49398,-0.143372,neutral,0
Best Western Blue Tower Hotel,Leeuwendalersweg 21 Bos en Lommer 1055 JE Amsterdam Netherlands, It is strange didn t like the hotel much but found its proximity to public transport really good It was a short walk to a pleasant restaurant and great bar to watch soccer   Our room while ok had a big weight bearing column to the side of the bed making nighttime ventures a challenge But that s ok as we could leave stuff in the safe but there wasn t one We had an early start so could set the bedside alarm clock but there wasn t one There was nowhere to put the soap in the wash basin or shower As there was no extractor fan in the bathroom shaving was a life threatening event But luckily we could go to the lobby for a wine except it was shot Whether the restaurant is licenced remains a mystery ,52.3793659,4.8457179,neutral,0
Waldorf Madeleine,12 boulevard Malesherbes 8th arr 75008 Paris France, The staff the location the comfortable bed No Negative,48.8715828,2.3224853,neutral,0
Holiday Inn London West,4 Portal Way Gypsy Corner A40 London W3 6RT United Kingdom, Executive suite was very nice with lots of room and comfy bed Large tv in room and big desk for working  Ordering room service took three or four attempts to get through to someone Kept waiting at check in whilst staff talked ,51.5210117,-0.2628618,neutral,0
Sofitel Legend The Grand Amsterdam,Oudezijds Voorburgwal 197 Amsterdam City Center 1012 EX Amsterdam Netherlands, The location was excellent The rooms were light and airy The beds were very comfortable   We didn t like the dark bathroom Dim lighting and dark tiles made it difficult ,52.370835,4.895403,neutral,0
Hilton London Wembley,Lakeside Way Brent London HA9 0BU United Kingdom, Bed was so comfortable and the bathroom had an amazing look to it   Nothing ,51.5576962,-0.2835263,neutral,0
Innkeeper s Lodge London Greenwich,291 Greenwich High Road Greenwich Greenwich London SE10 8NA United Kingdom, The position  The room they gave me was an oven WiFi slow and tricky Breakfast was poor Close to nothingness ,51.4801631,-0.0097201,neutral,0
The Guesthouse Vienna,F hrichgasse 10 01 Innere Stadt 1010 Vienna Austria, The locations was perfect The cafe was excellent The room quality and design was modern and comfortable All and all was a very good experience   A bit pricy But it was good value for quality ,48.2051299,16.369036,neutral,0
The Gore Hotel Starhotels Collezione,190 Queen s Gate Kensington and Chelsea London SW7 5EX United Kingdom, Super helpful staff from reception to bar service Amazing service Beautiful building this was our 2nd stay and we will be back next Year   It s quite expensive but beautiful ,51.5001979,-0.1795357,neutral,0
Corus Hotel Hyde Park,Lancaster Gate Westminster Borough London W2 3LG United Kingdom, Reception staff were very good   Service was atrocious at the bar area Very unhelpful restaurant manager ,51.5119446,-0.179939,neutral,0
Doubletree by Hilton London Kensington,100 Queen s Gate Kensington and Chelsea London SW7 5AG United Kingdom, The layout of our room the duplex suite  No Negative,51.4925138,-0.1787917,neutral,0
Idea Hotel Milano San Siro,Via Gaetano Airaghi 125 20153 Milan Italy,No Positive  The hotel is nice and comfortable although is a bit far from metrostation That I did not like is when I check out the wifi network was fail and I had to wait a 40 minutes for noting i was delate for my flight and after that the reception took my credit card details to pay a tourist tax otherwise I have paid for overnight stays ,45.4720654,9.0777871,neutral,0
Hilton London Metropole,225 Edgware Road Westminster Borough London W2 1JU United Kingdom, location Breakfast   Long queue in check in and check out Hotel is Crowded all time Emergency alarms ring more than three times in the nights during my stay around 3 15AM ,51.5195688,-0.170521,neutral,0
Millennium Gloucester Hotel London,4 18 Harrington Gardens Kensington and Chelsea London SW7 4LH United Kingdom, Excellent location lovely friendly staff lovely rooms and great service  Expensive parking and the parking bays are not very clear indicating if you can park in them,51.4935083,-0.1834346,neutral,0
Park Lane Mews Hotel,2 Stanhope Row Park Lane Westminster Borough London W1J 7BS United Kingdom, Location   Very very unhelpful rude staff one lady and a man During the check in two visitors in front of us were treated badly without any respect Not very well to us either even though they know that we are British couple Next morning whilst waiting for check out they were found to be unhelpful to another visitor who was waiting for breakfast a long time The breakfast was a joke We will never stay there again Very expensive to stay even in London standard The worn out room was just enough for the double bed We almost have to dive into the bed ,51.5059334,-0.1489418,neutral,0
Club Quarters Hotel Lincoln s Inn Fields,61 Lincoln s Inn Fields Camden London WC2A 3JW United Kingdom, Wonderful room ideal location very good value for money and comfort by Central London standards Impeccably clean  No Negative,51.5160988,-0.1181749,joy,0
Austria Trend Parkhotel Sch nbrunn Wien,Hietzinger Hauptstra e 10 14 13 Hietzing 1130 Vienna Austria, Kettle tea coffee and meeting fruit plate in the room Perfect location just opposite Shonbrunn park Varied breakfast Balcony facing the quiet yard   The toilet was far from the bathroom There was no small towel in the toilet near the sink it was very uncomfortable ,48.1866506,16.3023375,neutral,0
Pullman London St Pancras,100 110 Euston Road Camden London NW1 2AJ United Kingdom, Great room Fantastic location  No Negative,51.5286766,-0.1283489,joy,0
NH Milano Touring,Via Tarchetti 2 Milan City Center 20121 Milan Italy, Overall experience is good and staffs are quite friendly and ready to assist Marco n Preethi are very cooperative all through   Restaurant specially since it has very limited food available n nothing as such for Kids ,45.4769167,9.196665,neutral,0
Mercure London Kensington Hotel,1a Lexham Gardens Kensington and Chelsea London W8 5JJ United Kingdom, Breakfast was good Nice toiletries Staff were really helpful  Mattress was a little soft Room was slightly small,51.4950098,-0.1906195,neutral,0
Catalonia Atenas,Avenida Meridiana 151 Sant Mart 08026 Barcelona Spain, Fantastic and helpful staff and breakfast excellent Only 50 metres from a metro station  Nothing,41.4110056,2.1866009,neutral,1
